pastorateName,pastorateShortName,pastorateNameTamil,churchName,churchShortName,churchNameTamil,areaName,areaId,familyRespect,familyName,familyNumber,layoutNumber,familyPhone,familyEmail,familyAddress,familyNotes,familyPrayerPoints,memberNumber,memberId,memberRespect,memberName,relation,sex,dob,age,mobile,aadharNumber,occupation,workingPlace,isAlive,isMarried,spouseName,dateOfMarriage,isBaptised,dateOfBaptism,isConfirmed,dateOfConfirmation,congregationParticipation,memberCreatedAt,memberUpdatedAt
Tenkasi North Pastorate,TNP,தென்காசி வடக்கு,St. Peter's Church,SPC,செயின்ட் பீட்டர் தேவாலயம்,Anna Nagar,AN,Mr,Wilson Family,004,004,9876543240,wilson@email.com,321 Park Avenue,Regular attendees,Pray for children,03,M011,Master,Daniel Wilson,Son,Male,2015-08-05,9,,,Student,School,true,false,,,,true,2015-09-01,false,,true,2024-01-04,2024-01-04
Tenkasi North Pastorate,TNP,தென்காசி வடக்கு,St. Peter's Church,SPC,செயின்ட் பீட்டர் தேவாலயம்,Anna Nagar,AN,Mr,Wilson Family,004,004,9876543240,wilson@email.com,321 Park Avenue,Regular attendees,Pray for children,04,M012,Ms,Emma Wilson,Daughter,Female,2018-12-15,6,,,Student,School,true,false,,,,true,2019-01-10,false,,false,2024-01-04,2024-01-04
Tenkasi North Pastorate,TNP,தென்காசி வடக்கு,St. Peter's Church,SPC,செயின்ட் பீட்டர் தேவாலயம்,Anna Nagar,AN,Mr,Joseph Family,005,005,9876543250,joseph@email.com,654 Lake View,Elderly couple,Pray for health,01,M013,Mr,Abraham Joseph,Head,Male,1955-10-25,69,9876543250,567890123456,Retired,Retired,true,true,Elizabeth Joseph,1980-12-05,true,1955-11-10,true,1970-07-15,true,2024-01-05,2024-01-05
Tenkasi North Pastorate,TNP,தென்காசி வடக்கு,St. Peter's Church,SPC,செயின்ட் பீட்டர் தேவாலயம்,Anna Nagar,AN,Mr,Joseph Family,005,005,9876543250,joseph@email.com,654 Lake View,Elderly couple,Pray for health,02,M014,Mrs,Elizabeth Joseph,Wife,Female,1958-03-18,66,9876543251,567890123457,Homemaker,,true,true,Abraham Joseph,1980-12-05,true,1958-04-05,true,1973-08-20,true,2024-01-05,2024-01-05
Tenkasi North Pastorate,TNP,தென்காசி வடக்கு,St. Peter's Church,SPC,செயின்ட் பீட்டர் தேவாலயம்,Gandhi Nagar,GN,Dr,Ravi Family,006,006,9876543260,ravi@email.com,987 Hill Road,Professional family,Pray for success,01,M015,Dr,Ravi Kumar,Head,Male,1982-07-30,42,9876543260,678901234567,Doctor,Private Clinic,true,true,Lakshmi Ravi,2008-02-14,true,1982-08-15,true,1997-09-10,true,2024-01-06,2024-01-06
Tenkasi North Pastorate,TNP,தென்காசி வடக்கு,St. Peter's Church,SPC,செயின்ட் பீட்டர் தேவாலயம்,Gandhi Nagar,GN,Dr,Ravi Family,006,006,9876543260,ravi@email.com,987 Hill Road,Professional family,Pray for success,02,M016,Mrs,Lakshmi Ravi,Wife,Female,1985-11-12,39,9876543261,678901234568,Pharmacist,Medical Store,true,true,Ravi Kumar,2008-02-14,true,1985-12-01,true,2000-10-15,true,2024-01-06,2024-01-06
Tenkasi North Pastorate,TNP,தென்காசி வடக்கு,St. Peter's Church,SPC,செயின்ட் பீட்டர் தேவாலயம்,Gandhi Nagar,GN,Dr,Ravi Family,006,006,9876543260,ravi@email.com,987 Hill Road,Professional family,Pray for success,03,M017,Ms,Priya Ravi,Daughter,Female,2012-05-20,12,,,Student,School,true,false,,,,true,2012-06-10,false,,true,2024-01-06,2024-01-06
Tenkasi North Pastorate,TNP,தென்காசி வடக்கு,St. Peter's Church,SPC,செயின்ட் பீட்டர் தேவாலயம்,Gandhi Nagar,GN,Mr,Stephen Family,007,007,9876543270,stephen@email.com,147 Market Street,Young family,Pray for guidance,01,M018,Mr,Stephen Raj,Head,Male,1992-09-08,32,9876543270,789012345678,Software Engineer,Infosys,true,true,Divya Stephen,2018-06-15,true,1992-10-01,true,2007-11-20,true,2024-01-07,2024-01-07
Tenkasi North Pastorate,TNP,தென்காசி வடக்கு,St. Peter's Church,SPC,செயின்ட் பீட்டர் தேவாலயம்,Gandhi Nagar,GN,Mr,Stephen Family,007,007,9876543270,stephen@email.com,147 Market Street,Young family,Pray for guidance,02,M019,Mrs,Divya Stephen,Wife,Female,1994-12-25,30,9876543271,789012345679,Designer,Freelance,true,true,Stephen Raj,2018-06-15,true,1994-01-10,true,2009-12-15,true,2024-01-07,2024-01-07
Tenkasi North Pastorate,TNP,தென்காசி வடக்கு,St. Peter's Church,SPC,செயின்ட் பீட்டர் தேவாலயம்,Gandhi Nagar,GN,Mr,Stephen Family,007,007,9876543270,stephen@email.com,147 Market Street,Young family,Pray for guidance,03,M020,Master,Joshua Stephen,Son,Male,2020-03-10,4,,,Child,Home,true,false,,,,true,2020-04-01,false,,false,2024-01-07,2024-01-07
Tenkasi North Pastorate,TNP,தென்காசி வடக்கு,St. Peter's Church,SPC,செயின்ட் பீட்டர் தேவாலயம்,Nehru Nagar,NN,Mr,Paul Family,008,008,9876543280,paul@email.com,258 Station Road,Faithful servants,Pray for ministry,01,M021,Mr,Paul David,Head,Male,1968-01-20,56,9876543280,890123456789,Evangelist,Church,true,true,Ruth Paul,1992-08-25,true,1968-02-10,true,1983-09-15,true,2024-01-08,2024-01-08
Tenkasi North Pastorate,TNP,தென்காசி வடக்கு,St. Peter's Church,SPC,செயின்ட் பீட்டர் தேவாலயம்,Nehru Nagar,NN,Mr,Paul Family,008,008,9876543280,paul@email.com,258 Station Road,Faithful servants,Pray for ministry,02,M022,Mrs,Ruth Paul,Wife,Female,1970-05-15,54,9876543281,890123456790,Sunday School Teacher,Church,true,true,Paul David,1992-08-25,true,1970-06-05,true,1985-10-20,true,2024-01-08,2024-01-08
Tenkasi North Pastorate,TNP,தென்காசி வடக்கு,St. Peter's Church,SPC,செயின்ட் பீட்டர் தேவாலயம்,Nehru Nagar,NN,Mr,Paul Family,008,008,9876543280,paul@email.com,258 Station Road,Faithful servants,Pray for ministry,03,M023,Mr,Timothy Paul,Son,Male,1995-11-08,29,9876543282,890123456791,Youth Pastor,Church,true,false,,,,true,1995-12-01,true,2010-11-15,true,2024-01-08,2024-01-08
Tenkasi North Pastorate,TNP,தென்காசி வடக்கு,St. Peter's Church,SPC,செயின்ட் பீட்டர் தேவாலயம்,Nehru Nagar,NN,Mr,Moses Family,009,009,9876543290,moses@email.com,369 River Side,New believers,Pray for growth,01,M024,Mr,Moses Kumar,Head,Male,1987-04-12,37,9876543290,901234567890,Mechanic,Auto Shop,true,true,Esther Moses,2015-09-20,true,2020-01-15,false,,true,2024-01-09,2024-01-09
Tenkasi North Pastorate,TNP,தென்காசி வடக்கு,St. Peter's Church,SPC,செயின்ட் பீட்டர் தேவாலயம்,Nehru Nagar,NN,Mr,Moses Family,009,009,9876543290,moses@email.com,369 River Side,New believers,Pray for growth,02,M025,Mrs,Esther Moses,Wife,Female,1989-08-28,35,9876543291,901234567891,Tailor,Home,true,true,Moses Kumar,2015-09-20,true,2020-01-15,false,,true,2024-01-09,2024-01-09
Tenkasi North Pastorate,TNP,தென்காசி வடக்கு,St. Peter's Church,SPC,செயின்ட் பீட்டர் தேவாலயம்,Nehru Nagar,NN,Mr,Moses Family,009,009,9876543290,moses@email.com,369 River Side,New believers,Pray for growth,03,M026,Ms,Hannah Moses,Daughter,Female,2016-07-15,8,,,Student,School,true,false,,,,true,2016-08-10,false,,true,2024-01-09,2024-01-09
Tenkasi North Pastorate,TNP,தென்காசி வடக்கு,St. Peter's Church,SPC,செயின்ட் பீட்டர் தேவாலயம்,Nehru Nagar,NN,Mr,Benjamin Family,010,010,9876543300,benjamin@email.com,741 Garden Street,Active youth,Pray for education,01,M027,Mr,Benjamin Raj,Head,Male,1965-06-18,59,9876543300,012345678901,Retired Teacher,Retired,true,true,Susanna Benjamin,1988-03-12,true,1965-07-10,true,1980-08-15,true,2024-01-10,2024-01-10
Tenkasi North Pastorate,TNP,தென்காசி வடக்கு,St. Peter's Church,SPC,செயின்ட் பீட்டர் தேவாலயம்,Nehru Nagar,NN,Mr,Benjamin Family,010,010,9876543300,benjamin@email.com,741 Garden Street,Active youth,Pray for education,02,M028,Mrs,Susanna Benjamin,Wife,Female,1967-09-22,57,9876543301,012345678902,Retired Nurse,Retired,true,true,Benjamin Raj,1988-03-12,true,1967-10-15,true,1982-09-20,true,2024-01-10,2024-01-10
Tenkasi North Pastorate,TNP,தென்காசி வடக்கு,St. Peter's Church,SPC,செயின்ட் பீட்டர் தேவாலயம்,Nehru Nagar,NN,Mr,Benjamin Family,010,010,9876543300,benjamin@email.com,741 Garden Street,Active youth,Pray for education,03,M029,Mr,Samuel Benjamin,Son,Male,1990-02-28,34,9876543302,012345678903,Bank Manager,ICICI Bank,true,false,,,,true,1990-03-20,true,2005-04-15,true,2024-01-10,2024-01-10
